"","Connectivity","P_Value"
"exisulind",0.80925,0.0680053105705813
"arachidonyltrifluoromethane",0.788825,0.102530573791499
"celastrol",0.7587,0.0715349609568723
"parthenolide",0.75358,0.0223463218336857
"disulfiram",0.73611,0.0358178077901212
"eldeline",0.72884,0.00288935480530225
"MS-275",0.694855,0.462899364577209
"ginkgolide A",0.693835,0.0368950513408565
"nadide",0.683465,0.0359162092577524
"dapsone",0.683425,0.110410625525725
"5152487",0.68115,0.0919458915058911
"antimycin A",0.67427,0.0730808534960705
"aminophylline",0.67167,0.0910415472211318
"MG-132",0.67162,0.203281731017207
"dinoprost",0.67079,0.101482063990911
"amitriptyline",0.658505,0.0421557418793194
"meclocycline",0.657425,0.129578410101327
"meclozine",0.65299,0.149621926088742
"pheniramine",0.65077,0.0436485225097215
"brompheniramine",0.65053,0.056989089784681
"guanethidine",0.64376,0.0541011934800478
"butoconazole",0.64328,0.0877129458087398
"STOCK1N-35874",0.642115,0.475937528936574
"monocrotaline",0.638095,0.0925257597746742
"levodopa",0.634895,0.0560517018598809
"monorden",0.63003,0.30766688118243
"betulin",0.629215,0.185018363365745
"phenoxybenzamine",0.628985,0.317067043539143
"metanephrine",0.6264,0.0990839425683787
"idazoxan",0.62598,0.0589289585985581
"colchicine",0.625465,0.0727253419854589
"deferoxamine",0.6252,0.174621550105077
"pancuronium bromide",0.624535,0.14481948717882
"trihexyphenidyl",0.620905,0.063207608364589
"cytisine",0.62034,0.0955759317911669
"phenylpropanolamine",0.62024,0.112340528728275
"MG-262",0.615355,0.358788135435482
"scoulerine",0.615285,0.11031811536254
"15-delta prostaglandin J2",0.61473,0.26048354291671
"amphotericin B",0.61385,0.147252554372301
"dequalinium chloride",0.612225,0.228875057455728
"SB-203580",0.61141,0.232846610126811
"cyproheptadine",0.610975,0.0952171371814241
"gramine",0.609505,0.111901692423672
"dorzolamide",0.6064,0.163774447504151
"sulmazole",0.60528,0.202602752104497
"ipratropium bromide",0.605135,0.10891116275433
"hydrocotarnine",0.60421,0.137338178519744
"withaferin A",0.60306,0.253190953288835
"crotamiton",0.601005,0.123829795950734
"naftopidil",0.59761,0.133212149418889
"adenosine phosphate",0.595825,0.181515330504484
"tanespimycin",0.59535,0.320967080401373
"ergocalciferol",0.59381,0.217707074993602
"nipecotic acid",0.593725,0.115559008170632
"cyanocobalamin",0.587615,0.212546635116429
"isoetarine",0.587275,0.182847628076897
"imipramine",0.587,0.168294571285371
"valinomycin",0.584985,0.34875118006247
"triamcinolone",0.57845,0.210032111670784
